polygon_id,class,pixel_count
42026,12,25
42026,53,5
42026,83,1
42026,93,3
42026,211,7
42026,212,24
177480,3,72
177480,5,350
177480,8,13
177480,9,105
177480,12,169
125952,7,120
125952,8,88
125952,9,498
125952,212,3
164667,3,15
164667,5,3
164667,7,248
164667,8,137
164667,9,287
164667,53,5
164667,73,3
164667,211,7
54447,3,275
54447,5,30
54447,8,20
54447,9,211
54447,11,67
54447,12,92
54447,93,4
54447,211,1
54447,212,8
126048,7,306
126048,8,131
126048,9,268
126048,12,1
32738,7,221
32738,8,138
32738,9,346
161337,8,208
161337,9,245
161337,12,26
128381,7,264
128381,8,64
128381,9,373
34712,3,56
34712,5,46
34712,7,103
34712,8,135
34712,9,299
34712,10,2
34712,11,15
34712,12,40
34712,211,13
161434,5,72
161434,7,185
161434,8,176
161434,9,255
161434,11,1
161434,12,6
161434,211,4
161434,212,6
112170,3,69
112170,5,3
112170,7,242
112170,8,87
112170,9,153
112170,10,9
112170,12,143
30801,3,38
30801,5,237
30801,8,67
30801,9,367
169854,3,63
169854,5,54
169854,7,142
169854,8,87
169854,9,118
169854,10,3
169854,11,20
169854,12,201
169854,93,3
169854,210,3
169854,211,5
169854,212,5
129717,7,161
129717,8,242
129717,9,309
169793,3,39
169793,5,46
169793,7,185
169793,9,148
169793,11,90
169793,12,181
169793,211,9
169793,212,6
128387,7,272
128387,8,91
128387,9,315
128387,12,15
128387,83,2
128387,93,2
128387,211,3
128387,212,9
76601,7,266
76601,8,112
76601,9,316
76601,12,10
169680,3,82
169680,7,207
169680,8,17
169680,9,142
169680,10,7
169680,11,52
169680,12,199
78491,3,64
78491,5,640
106984,5,8
106984,7,261
106984,8,108
106984,9,327
167481,3,82
